Brand,Owner,Ownership Type,Notes,Category,Subcategory
Nidio,Nestle,Megacorporation,"I'll just leave this here... - https://en.wikibooks.org/wiki/Professionalism/The_Nestl%C3%A9_Infant_Formula_Scandal#:~:text=In%201974%2C%20a%20report%20entitled,in%201977%2C%20which%20continues%20today.",Food,Baby Formula
Pediasure,Abbott Labs,Megacorporation,"""More sugar than a 12-ounce can of cola..."" - https://www.parasmoliebermanlaw.com/investigations",Food,Baby Formula
Nutramigen,Reckitt Benckiser Group,Megacorporation,Mead Johnson is owned by Reckitt Benckiser Group and facing several class action lawsuits over baby formula - https://www.forbes.com/advisor/legal/product-liability/baby-formula-lawsuit/,Food,Baby Formula
Similac,Abbott Labs,Megacorporation,Involved in the same lawsuit about NEC - https://www.forbes.com/advisor/legal/product-liability/baby-formula-lawsuit/,Food,Baby Formula
Enfamil,Reckitt Benckiser Group,Megacorporation,More than 200 lawsuits pending... - https://www.drugwatch.com/baby-formula/lawsuits/enfamil/,Food,Baby Formula
Gerber Good Start,Gerber,Megacorporation,"Heavy metals in their baby food, and in their infant formula- though the judge dismissed the case because plaintiffs didn't prove 'financial harm' ... uhhh.... Here is the original government report",Food,Baby Formula
Kendamil,Kendal Nutricare,Family owned,Owned by the McMahon family- brothers Dylan and Will and their dad Ross,Food,Baby Formula
Bobbie,Laura Modi & Sarah Hardy,Female founder owned,"Legit as hell. New company, full of energy and advocacy. Check them out.",Food,Baby Formula
Ragu,Mizkan Group,Megacorporation,Based in Japan,Food,Pasta Sauce
Bertolli,Mizkan Group,Megacorporation,Based in Japan,Food,Pasta Sauce
Prego,Campbell's Soup Company,Megacorporation,"Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
",Food,Pasta Sauce
Raos,Campbell's Soup Company,Megacorporation,"Mary Alice Dorrance Malone(descendent of founder) still has largest stake in the company despite it being corporate
",Food,Pasta Sauce
Filippo Berio,Bright Food,Megacorporation,Second largest China based food company,Food,Pasta Sauce
Classico,Kraft-Heinz,Megacorporation,Majority owned by Warren Buffet,Food,Pasta Sauce
The Silver Palate,Peter Harris,Privately Owned,Peter Harris purchased from the founders. He did not found it.,Food,Pasta Sauce
Organiceville,Employee Owned,Employee Owned,,Food,Pasta Sauce
Mezzetta,Jeff Mezzetta & Family,Family Owned,Fourth generation family owned,Food,Pasta Sauce
Newman's Own,The Newman's Own Foundation,Private Non-Profit,This company is the GOAT. They donate 100% of profits to charity and have donated more than $570 million worldwide through Newman's Own Foundation. However- this article details the family fight for control over the company after Paul's death. - https://www.vanityfair.com/news/2015/07/paul-newmans-own-family-feud-susan-newman,Food,Pasta Sauce
Famous Daves,MTY Food Group,Megacorporation,Fidelity pickles,Food,Pickles
Steinfelds,Treehouse Foods,Megacorporation,Via Bay Valley Foods,Food,Pickles
Nalley,Conagra Brands,Megacorporation,,Food,Pickles
Vlasic,Conagra Brands,Megacorporation,,Food,Pickles
Mt Olive,Privately Owned,Privately Owned,SOME CRAZY STORY COME BACK TO THIS,Food,Pickles
Mezzetta,Mezzetta Family,Family owned,4th generation family owned,Food,Pickles
Napoleon,Magnano Family,Family owned,Fourth generation family owned,Food,Pickles
Rainforest Coffee Co.,Nick Keller,Founder owned,"Partnered with this this channel- Follow this afilliate link to support my channel with a portion of proceeds and use code cancelthisclothingcompany for $5 off any order. A portion of all proceeds go to rainforest rehabilitation and all coffee is organic, pesticide free, small batch roasted to order. - https://rainforestcoffeeco.com/?ref=wFxf40FHadNOt",Food,Coffee
Folgers,J. M. Smucker ,Megacorporation,,Food,Coffee
Cafe Bustelo,J. M. Smucker ,Megacorporation,,Food,Coffee
McCafe,McDonald's ,Megacorporation,,Food,Coffee
Yuban,Kraft Heinz,Megacorporation,,Food,Coffee
Gevalia,Kraft Heinz,Megacorporation,,Food,Coffee
Great Value,Walmart,Megacorporation,,Food,Coffee
Starbucks,Starbucks,Megacorporation,,Food,Coffee
Peet's,JAB Holding Company,Megacorporation,,Food,Coffee
Tully's Coffee,JAB Holding Company,Megacorporation,Owned via Keurig Dr. Pepper,Food,Coffee
Donut Shop Coffee,JAB Holding Company,Megacorporation,Owned via Keurig-Dr. Pepper which is 78% owned by JAB,Food,Coffee
Green Mountain Coffee Roasters,JAB Holding Company,Megacorporation,,Food,Coffee
Tim Horton's,Restaurant Brands International,Megacorporation,"Also own Burger King, Popeyes and Firehouse Subs.",Food,Coffee
Gloria Jean's Coffees,Retail food group,Megacorporation,Australian based owned by a bunch of big AUS money,Food,Coffee
